Key,English
loadingTipAircraft6,"Resources are scarce in the ship, but you will be able to find or craft everything you need to complete the challenge. Some resources, like old cash, can be used in recipes - so make sure you check the recipes for EVERYTHING. Also, some of the rarer resources, like acid, can now be crafted. It can also be looted from zombies - along with antibiotics and beakers."

loadingTipAircraft7_title,Crafting
loadingTipAircraft7,"Crafting workstations, and tools like the crucible, and vehicles themselves, take fewer magazines to read before they unlock."

loadingTipAircraft8_title,Cheating
loadingTipAircraft8,"Trying to leave the docks or ship other than by an AH-64 Apache helicopter (Zilox mod) is not advised . The ground is SPICY and will end your challenge ..."

loadingTipAircraft9_title,Lost Are We?
loadingTipAircraft9,"If you are lost on where to travel to next, there may have been a kind soul who left directions in the quest instructions. Let's be real though, men neither ask for directions nor read instructions!"

loadingTipAircraft10_title,Special Thanks
loadingTipAircraft10,"Thanks to w00kien00kie for the custom code, Khelldon for the custom menu, Frantic_Dan for ideas & xpath help, Zilox, SphereII, and Pitchsilent  for the original mod and concept."

loadingTipAircraft11_title,Horde Night
loadingTipAircraft11,"Horde nights, better suck it up, buttercup."

loadingTipAircraft12_title,Destroyer Resources
loadingTipAircraft12,"There are many changes from vanilla for resource gathering. Clay soil, for example, can be found by harvesting potted plants, farm plots, and destroyed stone."

loadingTipAircraft13_title,Search Everywhere - Check Everything
loadingTipAircraft13,"For a military vessel, there are considerable nooks, crannies, hidey holes and hidden stashes all over the place. Some say there are hidden shortcuts within the walls too! Navy brass would be rolling in their grave if they weren't ambling around in hordes of the reanimated dead..."

loadingTipAircraft14_title,Wrench
loadingTipAircraft14,"Keep it repaired. Look after your wrench, and your wrench will look after you."

loadingTipAircraft15_title,Archer
loadingTipAircraft15,"Fear not, little Robin Hood. Wield a bow without arrows but plentiful crossbow bolts? You may convert your arrows to bolts and your bolts to arrows for free. William Tell those apples, my friend."

dishongTowerBundle,Destroyer Challenge Starter Items,,
dishongTowerBundleDesc,Starter items for the Destroyer challenge.,,

Welcome,"Started The Destroyer Challenge"

tutorialTipQuest01,"Welcome back aboard the Destroyer, Master Chief! \nThe Destroyer was returned to the docks after your last rescue mission from certain doom on the Aircraft Carrier Challenge, but it seems the zombies from the Oil Tanker reinfested the Destroyer. Now grab your supplies, eliminate the zombie threat, and build an AH-64 Apache helicopter to seek refuge at a nearby [ff7f27]OIL RIG[-].  \n\nRULES: \n1. The ground around the Docks is [ff7f27]SPICY[-] and may [ff7f27]NOT[-] be used to support any structures, or to grow any crops, unless you can do this [ff7f27]WITHOUT[-] touching it.\n2. You may not mine or dig under the Destroyer or Docks.\n3. All default game settings, unless you are a seasoned gamer.\n4. It is recommended to have sleeper respawns set to [ff7f27]7 DAYS[-].\n5. You must survive until you are able to build a AH-64 and fly off the Destroyer to complete your [ff7f27]Final Mission [-].\n\nIf  [ff7f27]ANYONE[-] dies, the mission is over. [cd5c5c]PERMADEATH CHALLENGE[-]" 

challenge_StartingDestroyer,"Welcome aboard Master Chief!"
challenge_StartingDestroyer_subtitle,"Clear some zombies"
challenge_StartingDestroyer_description,"Grab your gear and Let's Go clear our way to the Trader!"

quest_DestroyerChallenge,"Find Blueprint" 
quest_DestroyerChallenge_subtitle,"The plans changed"
quest_DestroyerChallenge_description,"Since you already know your orders lets get working on finding that blueprint. "

quest_DestroyerChallenge01,"Gather "
quest_DestroyerChallenge01_subtitle,""
quest_DestroyerChallenge01_description," ."

quest_DestroyerChallenge02,"UH-60 Parts 1/3"
quest_DestroyerChallenge02_subtitle,"Build  UH-60 Accessories"
quest_DestroyerChallenge02_description,"Gather parts and craft UH-60 Accessories."

quest_DestroyerChallenge03,"Gather AH-64 Parts 2/3"
quest_DestroyerChallenge03_subtitle,"Build UH-60 Chassis"
quest_DestroyerChallenge03_description,"Gather parts and craft UH-60 Chassis."

quest_DestroyerChallenge04,"Gather AH-64 Parts 3/3"
quest_DestroyerChallenge04_subtitle,"Build UH-60 Helicopter"
quest_DestroyerChallenge04_description,"Gather parts and craft UH-60 Helicopter."

quest_DestroyerChallenge05,"Gather AH-64 Parts 3/3 "
quest_DestroyerChallenge05_subtitle,"Build UH-60 helicopter"
quest_DestroyerChallenge05_description,"Gather parts and craft UH-60 helicopter"

quest_DestroyerChallenge06,"Apache Impact Driver"
quest_DestroyerChallenge06_subtitle,"Craft  Apache Impact Driver"
quest_DestroyerChallenge06_description,"Craft an Apache Impact Driver in a workbench."

quest_DestroyerChallenge07,"USE Apache Impact Driver"
quest_DestroyerChallenge07_subtitle,"Place, Starting helicopter "
quest_DestroyerChallenge07_description,"Place Starting helicopter, with the parts crafted USE the Apache Impact Driver to upgrade to your new AH-64 helicopter!"

quest_DestroyerChallenge08,"Time to blow SHIT up!"
quest_DestroyerChallenge08_subtitle,"Head to the CAMP666, and annihilate some zombies."
quest_DestroyerChallenge08_description,"You might want to craft a MINGUN to give yourself a fighting chance."

quest_DestroyerChallenge09,"Final Mission?"
quest_DestroyerChallenge09_subtitle,"Hope you brought enough OIL."
quest_DestroyerChallenge09_description,"Head to the OIL RIG, something tells me this is going to be a battle."

Challenge_Completion,"Challenge Complete"
Challenge_Completion_subtitle,"Congrats!"
Challenge_Completion_description,"Congrats."

Congrats,"Destroyer Challenge Complete"
Congrats_message,"Congrats!  You have completed the Destroyer Challenge. GG!!"
